"X1_sample_id"	"X2_sample_id"	"div1"	"div2"	"div12"	"div21"	"count1"	"count2"	"count12"	"count21"	"freq1"	"freq2"	"freq12"	"freq21"	"R"	"Rs"	"D"	"F"	"F2"	"vJSD"	"vjJSD"	"vj2JSD"	"sJSD"	"Jaccard"	"MorisitaHorn"	"X1_state.id"	"X1_cell.type.id"	"X1_locus"	"X1_..filter.."	"X2_state.id"	"X2_cell.type.id"	"X2_locus"	"X2_..filter.."
"CVID-2-Bright-IGK"	"CVID-2-Naive-IGK"	1345	1122	190	190	3156	4067	1190	2997	0.95203619909502	0.869017094017092	0.377059569074779	0.736906810917137	0.761571509376478	0.566442999408111	0.0001259037	0.527122153369298	0.481163104400395	0.0319036597677771	0.016500782189641	0.0591597748020859	0.00576096029563118	0.0834431269	0.632406166066423	"CVID"	"Bright"	"IGK"	"conv:MiXcr"	"CVID"	"Naive"	"IGK"	"conv:MiXcr"
"CVID-4-Bright-IGK"	"CVID-4-Naive-IGK"	2774	803	233	233	6529	2122	2712	1564	0.899683064627307	0.911903738719357	0.415377546331751	0.737040527803958	0.822880165007008	0.454581068933787	0.0001046005	0.55330831006435	0.496047926079785	0.100696679257941	0.050570504725767	0.123014657044677	0.0152856439812235	0.0696770335	0.755132124409889	"CVID"	"Bright"	"IGK"	"conv:MiXcr"	"CVID"	"Naive"	"IGK"	"conv:MiXcr"
"CVID-5-Bright-IGK"	"CVID-5-Naive-IGK"	5457	4849	1008	1008	17934	16967	12462	14089	0.694712376525396	0.591761997767965	0.694881231180998	0.830376613426058	0.876754080308705	0.605824803541044	3.80938e-05	0.759613798901394	0.703811561919816	0.0230095075515186	0.0118087482902291	0.0312478385610015	0.00135851825273449	0.1084104108	0.868175418620589	"CVID"	"Bright"	"IGK"	"conv:MiXcr"	"CVID"	"Naive"	"IGK"	"conv:MiXcr"
"CVID-6-Bright-IGK"	"CVID-6-Naive-IGK"	4093	3342	619	619	9484	8776	5697	6453	0.596028154851682	0.521387832699586	0.600695908899197	0.735300820419327	0.785526983753058	0.532748996177805	4.52525e-05	0.664599273725237	0.603351826175168	0.0626905528333338	0.0322589909747549	0.0783358712866506	0.00757255728040949	0.0908157277	0.808994655253262	"CVID"	"Bright"	"IGK"	"conv:MiXcr"	"CVID"	"Naive"	"IGK"	"conv:MiXcr"
"CVID-7-Bright-IGK"	"CVID-7-Naive-IGK"	5041	1736	591	591	12574	4199	6940	3090	0.528363728044341	0.56423004568663	0.551932559249246	0.735889497499401	0.815094658865106	0.486205627911061	6.75338e-05	0.637307911201082	0.579224587309715	0.03665296786053	0.0190041977145834	0.051031329854037	0.00532969606374298	0.0955383123	0.831586414128606	"CVID"	"Bright"	"IGK"	"conv:MiXcr"	"CVID"	"Naive"	"IGK"	"conv:MiXcr"
"CVID-8-Bright-IGK"	"CVID-8-Naive-IGK"	5349	1885	475	475	9881	4395	4121	3006	0.508334190760338	0.546437896307347	0.417063050298553	0.683959044368598	0.577132485995703	0.492483909840122	4.71096e-05	0.534091794847712	0.476273076615916	0.0780439034372169	0.0403387755192137	0.0950080139210722	0.00686009611038941	0.0702766681	0.6231142355251	"CVID"	"Bright"	"IGK"	"conv:MiXcr"	"CVID"	"Naive"	"IGK"	"conv:MiXcr"
"CVID-9-Bright-IGK"	"CVID-9-Naive-IGK"	1543	2946	393	393	2510	8739	1485	6094	0.483529185128133	0.602025351336535	0.591633466135457	0.697333791051609	0.737009532397672	0.598967885630984	8.64557e-05	0.64231301392175	0.576475700054836	0.0506661079713126	0.0262330628915923	0.0699205633707402	0.00964057148530175	0.095947265625	0.717958665039694	"CVID"	"Bright"	"IGK"	"conv:MiXcr"	"CVID"	"Naive"	"IGK"	"conv:MiXcr"
"HD-1-Bright-IGK"	"HD-1-Naive-IGK"	8168	2642	517	517	16431	7378	5208	5505	0.611636390708659	0.557040392600965	0.316961840423588	0.746137164543237	0.79377237110567	0.534695760445553	2.39575e-05	0.486309581318384	0.438854049143067	0.0393122589144644	0.0219727505799384	0.0555606066815439	0.0163757474816957	0.0502283105	0.58148604688337	"Healthy"	"Bright"	"IGK"	"conv:MiXcr"	"Healthy"	"Naive"	"IGK"	"conv:MiXcr"
"HD-3-Bright-IGK"	"HD-3-Naive-IGK"	1159	1145	115	115	1445	4393	271	2209	0.970449966420426	0.87231930103257	0.187543252595156	0.502845435920783	0.417656753973534	0.321747696807798	8.66581e-05	0.307091629005436	0.257575792210212	0.0703769406393966	0.0356672177819698	0.116410376129496	0.00996221343347313	0.0525354043	0.344722326636478	"Healthy"	"Bright"	"IGK"	"conv:MiXcr"	"Healthy"	"Naive"	"IGK"	"conv:MiXcr"
"HD-4-Bright-IGK"	"HD-4-Naive-IGK"	5970	1812	378	378	9659	3407	2877	2238	0.741175567833119	0.795656235404036	0.297856921006315	0.656882888171412	0.758569134377935	0.605547648901051	3.49429e-05	0.442331453247982	0.408959744067933	0.0571463563883075	0.0336791092279424	0.0764093675198791	0.0200933340275511	0.0510534846	0.63758918891296	"Healthy"	"Bright"	"IGK"	"conv:MiXcr"	"Healthy"	"Naive"	"IGK"	"conv:MiXcr"
"HD-5-Bright-IGK"	"HD-5-Naive-IGK"	6560	2563	374	374	8664	7715	1932	5611	0.648405927256529	0.675865089794107	0.222991689750692	0.727284510693455	0.727744532964979	0.612822277146353	2.22443e-05	0.40271379659634	0.365378817433835	0.0503250722272698	0.0282997005218608	0.0656428211851403	0.0161740964255524	0.0427477426	0.381603532272809	"Healthy"	"Bright"	"IGK"	"conv:MiXcr"	"Healthy"	"Naive"	"IGK"	"conv:MiXcr"
"Infected-2-Bright-IGK"	"Infected-2-Naive-IGK"	2810	1636	346	346	7883	5002	3354	3377	0.951248944129285	0.886093888396833	0.42547253583661	0.675129948020793	0.563009533631278	0.484516065361811	7.52639e-05	0.535956389087438	0.451905163446568	0.0630164367738688	0.0315838231140822	0.090793922937014	0.0176159717638687	0.0843902439	0.594584406337369	"Infected"	"Bright"	"IGK"	"conv:MiXcr"	"Infected"	"Naive"	"IGK"	"conv:MiXcr"
"Infected-3-Bright-IGK"	"Infected-3-Naive-IGK"	3625	2850	417	417	6150	8770	2725	6501	0.540137010363629	0.547167456950348	0.44308943089431	0.741277080957812	0.906956827593915	0.606918916861231	4.0363e-05	0.573107354634882	0.53532905713453	0.0352970341064876	0.0194220638975638	0.054937638151741	0.00999191090288962	0.0688345989	0.771333081031149	"Infected"	"Bright"	"IGK"	"conv:MiXcr"	"Infected"	"Naive"	"IGK"	"conv:MiXcr"
"Infected-4-Bright-IGK"	"Infected-4-Naive-IGK"	4222	2501	333	333	6669	6130	1703	4102	0.671533581713836	0.524918650453826	0.255360623781677	0.669168026101143	0.800997249480226	0.57033555473702	3.15364e-05	0.413375331339379	0.373796225494954	0.031232304625173	0.0174200433879795	0.0542104835694175	0.0105695795493352	0.0521126761	0.480865257674873	"Infected"	"Bright"	"IGK"	"conv:MiXcr"	"Infected"	"Naive"	"IGK"	"conv:MiXcr"
"Infected-5-Bright-IGK"	"Infected-5-Naive-IGK"	379	2528	140	140	520	8081	295	4443	0.700808625336925	0.53361067089276	0.567307692307692	0.549808192055439	0.819246124399881	0.510684368418758	0.0001461207	0.558489406029188	0.502099574084653	0.0395066827133216	0.0198766773798914	0.116333308787656	0.00764578623183142	0.0505963137	0.840222028401092	"Infected"	"Bright"	"IGK"	"conv:MiXcr"	"Infected"	"Naive"	"IGK"	"conv:MiXcr"
"CVID-2-Bright-IGL"	"CVID-2-Naive-IGL"	55	108	6	6	159	613	34	323	0.0479638009049773	0.130982905982906	0.213836477987421	0.526916802610114	0.0931439717381549	0.758970925898645	0.001010101	0.335669529839305	0.265586467778363	0.289327902852397	0.187336109615414	0.422327929527271	0.0100009168446331	0.0382165605	0.304100128647917	"CVID"	"Bright"	"IGL"	"conv:MiXcr"	"CVID"	"Naive"	"IGL"	"conv:MiXcr"
"CVID-4-Bright-IGL"	"CVID-4-Naive-IGL"	283	41	7	7	728	205	85	106	0.100316935372744	0.0880962612806187	0.116758241758242	0.517073170731707	0.914443257150007	0.579667133805243	0.0006032923	0.24570827066868	0.229088787823899	0.282557691854979	0.154654676511058	0.377233966507481	0.121535168607538	0.0220820189	0.382159931367161	"CVID"	"Bright"	"IGL"	"conv:MiXcr"	"CVID"	"Naive"	"IGL"	"conv:MiXcr"
"CVID-5-Bright-IGL"	"CVID-5-Naive-IGL"	2641	2876	572	572	7881	11705	5177	9211	0.30528762347471	0.408238002232119	0.656896332952673	0.78692866296455	0.899903419042411	0.573134459104017	7.53076e-05	0.718978826528823	0.660050804021701	0.0454465671270578	0.0245142723960514	0.0545098006930484	0.00406108087850142	0.1156723964	0.871778984384877	"CVID"	"Bright"	"IGL"	"conv:MiXcr"	"CVID"	"Naive"	"IGL"	"conv:MiXcr"
"CVID-6-Bright-IGL"	"CVID-6-Naive-IGL"	2705	2511	448	448	6428	8056	3178	5759	0.403971845148315	0.478612167300357	0.49439950217797	0.714870903674282	0.798205330567699	0.488127031256357	6.59575e-05	0.594501319509116	0.532429604571003	0.0450149904361183	0.0231921332487172	0.0630599146712711	0.00673390232935812	0.0939597315	0.70326333593155	"CVID"	"Bright"	"IGL"	"conv:MiXcr"	"CVID"	"Naive"	"IGL"	"conv:MiXcr"
"CVID-7-Bright-IGL"	"CVID-7-Naive-IGL"	5391	1288	455	455	11224	3243	5296	2172	0.471636271955577	0.435769954313366	0.47184604419102	0.669750231267344	0.832705232109588	0.45980552749752	6.55279e-05	0.562155669916721	0.51515100919086	0.054323967418348	0.0275695836255313	0.0622062891330175	0.00753491190651679	0.0731041131	0.851992803496265	"CVID"	"Bright"	"IGL"	"conv:MiXcr"	"CVID"	"Naive"	"IGL"	"conv:MiXcr"
"CVID-8-Bright-IGL"	"CVID-8-Naive-IGL"	6471	1267	308	308	9557	3648	2478	2562	0.491665809239597	0.453562103692666	0.259286386941508	0.702302631578949	0.701364683826335	0.522008247125664	3.75667e-05	0.42672885053816	0.384399124085561	0.0683335191916137	0.0374785199186204	0.0839347325352623	0.00828258112797251	0.0414535666	0.513622950351278	"CVID"	"Bright"	"IGL"	"conv:MiXcr"	"CVID"	"Naive"	"IGL"	"conv:MiXcr"
"CVID-9-Bright-IGL"	"CVID-9-Naive-IGL"	1395	1745	294	294	2681	5777	1669	4215	0.516470814871913	0.397974648663542	0.622528907124208	0.729617448502682	0.772724438413082	0.583897408317132	0.0001207752	0.673949518016838	0.606201635321514	0.0371935951726112	0.019197751524461	0.0527670747053208	0.00365756930374625	0.1033028812	0.786500091601481	"CVID"	"Bright"	"IGL"	"conv:MiXcr"	"CVID"	"Naive"	"IGL"	"conv:MiXcr"
"HD-1-Bright-IGL"	"HD-1-Naive-IGL"	5926	1940	346	346	10433	5867	2308	4114	0.38836360929116	0.442959607399005	0.221221125275567	0.70121015851372	0.705173484211528	0.501893213824961	3.00963e-05	0.393855938537257	0.353880922111588	0.0549124332188337	0.0306607584010136	0.0662462385359607	0.0196725183096739	0.0460106383	0.387237660412342	"Healthy"	"Bright"	"IGL"	"conv:MiXcr"	"Healthy"	"Naive"	"IGL"	"conv:MiXcr"
"HD-3-Bright-IGL"	"HD-3-Naive-IGL"	38	102	3	3	44	643	3	25	0.0295500335795836	0.127680698967435	0.0681818181818182	0.0388802488335925	0	0	0.0007739938	0.0514871445783882	0.0452930915504576	0.312805892290791	0.170192653808933	0.470212730614602	0.0963834028775763	0.0218978102	0.6934602667268	"Healthy"	"Bright"	"IGL"	"conv:MiXcr"	"Healthy"	"Naive"	"IGL"	"conv:MiXcr"
"HD-4-Bright-IGL"	"HD-4-Naive-IGL"	2455	513	148	148	3373	875	750	539	0.258824432166994	0.204343764595987	0.222353987548177	0.616000000000001	0.601386862594429	0.527941348452111	0.0001175149	0.370094658607331	0.33556726103158	0.0708351024399763	0.0397558930172522	0.104848184079628	0.0265415614081134	0.0524822695	0.500624822483931	"Healthy"	"Bright"	"IGL"	"conv:MiXcr"	"Healthy"	"Naive"	"IGL"	"conv:MiXcr"
"HD-5-Bright-IGL"	"HD-5-Naive-IGL"	3718	1343	178	178	4698	3700	638	2337	0.351594072743629	0.324134910205859	0.135802469135803	0.631621621621621	0.796707707292503	0.530068811962235	3.5648e-05	0.292875017329536	0.264707178118037	0.0600764482758631	0.0355327249994861	0.0925728056787746	0.029825163543744	0.0364530002	0.280105040540879	"Healthy"	"Bright"	"IGL"	"conv:MiXcr"	"Healthy"	"Naive"	"IGL"	"conv:MiXcr"
"Infected-2-Bright-IGL"	"Infected-2-Naive-IGL"	215	158	20	20	404	643	68	306	0.0487510558706406	0.113906111603189	0.168316831683168	0.475894245723173	0.927928832006147	0.0327372144455852	0.0005887548	0.283021221212077	0.248772634625874	0.104252521136186	0.0706730901271046	0.183946799009968	0.0930476328344978	0.0566572238	0.485796494292805	"Infected"	"Bright"	"IGL"	"conv:MiXcr"	"Infected"	"Naive"	"IGL"	"conv:MiXcr"
"Infected-3-Bright-IGL"	"Infected-3-Naive-IGL"	3109	2124	325	325	5236	7258	1800	5029	0.459862989636395	0.452832543049702	0.343773873185638	0.69289060347203	0.729746571510688	0.565845461980063	4.92162e-05	0.488055003508328	0.439115954864632	0.046769674802906	0.0287652293235411	0.0588811825837717	0.0127155386563103	0.0662184189	0.552549263861098	"Infected"	"Bright"	"IGL"	"conv:MiXcr"	"Infected"	"Naive"	"IGL"	"conv:MiXcr"
"Infected-4-Bright-IGL"	"Infected-4-Naive-IGL"	2310	1926	179	179	3262	5548	597	3226	0.32846641828618	0.475081349546141	0.183016554261189	0.581470800288392	0.754920182777496	0.56290455546359	4.02332e-05	0.326218917710604	0.291156093110586	0.0606756579825425	0.0339531159256034	0.0787342326814131	0.0119710606494353	0.0441212719	0.39736622987451	"Infected"	"Bright"	"IGL"	"conv:MiXcr"	"Infected"	"Naive"	"IGL"	"conv:MiXcr"
"Infected-5-Bright-IGL"	"Infected-5-Naive-IGL"	165	1978	71	71	222	7063	123	2726	0.299191374663073	0.466389329107215	0.554054054054054	0.385954976638822	0.472697168088569	0.524156509090246	0.0002175445	0.462428285779619	0.386622078574583	0.0510488703015002	0.0289462476001014	0.0845249834774354	0.0162643142589903	0.0342664093	0.641307282864299	"Infected"	"Bright"	"IGL"	"conv:MiXcr"	"Infected"	"Naive"	"IGL"	"conv:MiXcr"
